seed,optimize_prior,samples,linearized_pred,kfac,diffrax,solver,pcoeff,icoeff,savefig,epochs,accuracy_MAP,nll_MAP,brier_MAP,ece_map,mce_map,accuracy_posterior,nll_posterior,brier_posterior,ece_posterior,mce_posterior,accuracy_laplace,nll_laplace,brier_laplace,ece_laplace,mce_laplace,Total_time,Exmap_time,Laplace_time,NetworkTraining_time
0,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.16981,0.285905464786312,0.0889297170325753,2.135723,9.401542,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,267.631462335587,254.33109998703,1.85689449310303,3.58663058280945
1,False,100,False,False,True,dopri5,0.2,0.3,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.16981,0.291946954235064,0.0903203143968761,2.9769309,11.775184,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,306.153256654739,302.142090797424,0.884114742279053,2.07771277427673
2,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.04402,0.286766306331033,0.0899574418567937,2.0614424,10.405988,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,254.87056684494,250.706330776215,0.918227195739746,2.03042101860046
3,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.2956,0.294849704560888,0.0903080652505324,2.3666048,7.0162535,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,319.7289955616,315.409613847733,0.884762763977051,2.01438069343567
4,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.28931,0.57855710347942,0.113791522379906,9.6567545,27.610434,87.2956,0.287296879402416,0.0905488050652956,2.8180254,8.05707,50.18868,0.696459139068649,0.251646340080021,2.5089145,2.5089145,228.623602628708,224.014670848846,0.739618539810181,2.22274446487427
5,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.28931,0.444357914970821,0.102975316516931,7.381802,18.795807,87.2956,0.291618103887959,0.090282869928984,2.7318668,9.710807,53.96226,0.68708606396019,0.246946475752439,2.2778962,23.42747,326.486075401306,321.883068084717,0.907913684844971,1.93138480186462
6,False,100,False,False,True,dopri5,0.2,0.3,True,2000,87.04402,0.374678803551813,0.0970559630002234,7.9240904,28.59435,87.16981,0.291472439576096,0.0890260694505075,3.4995854,6.9286556,61.00629,0.678930646584106,0.242920488563115,7.7277074,7.7587547,301.715825557709,296.756756782532,0.836806297302246,2.03972625732422
7,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.54088,0.375502447857519,0.0993167501414034,7.5385423,25.82436,86.54088,0.295057517905022,0.0901063449013254,2.9476464,11.174238,52.07547,0.704637867669851,0.255649022076444,3.6137893,24.58246,282.02761888504,276.629976511002,0.981587171554565,2.17246508598328
8,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.666664,0.382535284141313,0.0983648318629062,7.358122,23.21313,87.92453,0.284671676357566,0.0888170128677927,1.9210093,10.711325,49.43396,0.697946044026523,0.252370349030279,4.1654077,21.098228,229.133547782898,223.486761808395,1.1175708770752,2.20088243484497
9,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.037735,0.39436460573853,0.101135788049477,8.002257,26.90462,87.04402,0.291768542101978,0.0903620361737987,2.238799,13.889832,50.31446,0.691453143861821,0.249178509930215,5.995695,14.793772,211.310428857803,205.949547767639,0.800920248031616,2.06828832626343
0,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,86.918236,0.286820645860991,0.0894719098950015,2.1198518,7.755795,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,265.602854967117,259.734238862991,1.07738876342773,2.08663868904114
1,False,100,False,False,True,dopri5,0.2,0.4,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.67296,0.282185489630211,0.0864287101190646,2.7092505,8.862358,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,316.463939428329,310.496992826462,0.892080783843994,2.17665410041809
2,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.54717,0.29253665157041,0.0898406073259085,2.2010503,5.2081466,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,265.09615945816,258.374039411545,1.04708480834961,2.40774822235107
3,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.04402,0.292595684728365,0.0914872513174658,2.528343,6.2060595,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,336.732128143311,330.099518537521,0.993748903274536,2.24688100814819
4,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.28931,0.57855710347942,0.113791522379906,9.6567545,27.610434,87.04402,0.288698089089725,0.0913798714658681,3.9280138,13.261568,50.18868,0.696459139068649,0.251646340080021,2.5089145,2.5089145,233.799405097961,227.378676176071,0.961482048034668,2.07732439041138
5,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.28931,0.444357914970821,0.102975316516931,7.381802,18.795807,87.04402,0.293483192820843,0.0903551040630913,2.9279985,5.35664,53.96226,0.68708606396019,0.246946475752439,2.2778962,23.42747,329.761693716049,323.076401233673,1.05482816696167,2.14167428016663
6,False,100,False,False,True,dopri5,0.2,0.4,True,2000,87.04402,0.374678803551813,0.0970559630002234,7.9240904,28.59435,87.42138,0.295097456961864,0.0908141459695587,3.2498307,7.4298143,61.00629,0.678930646584106,0.242920488563115,7.7277074,7.7587547,303.251637220383,296.458854913712,0.909035444259644,1.99125099182129
7,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.54088,0.375502447857519,0.0993167501414034,7.5385423,25.82436,87.92453,0.281798799404554,0.0877168493982184,3.6534264,10.436487,52.07547,0.704637867669851,0.255649022076444,3.6137893,24.58246,285.897692680359,278.393649339676,1.02227401733398,2.19946646690369
8,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.666664,0.382535284141313,0.0983648318629062,7.358122,23.21313,87.16981,0.295625462982728,0.0899517682423674,1.887344,4.971796,49.43396,0.697946044026523,0.252370349030279,4.1654077,21.098228,238.999809265137,231.853330612183,0.915244579315186,2.19313383102417
9,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.037735,0.39436460573853,0.101135788049477,8.002257,26.90462,86.79245,0.298348859044691,0.09253129043758,2.7560978,9.141541,50.31446,0.691453143861821,0.249178509930215,5.995695,14.793772,218.337449789047,211.312641143799,0.798506021499634,2.05350375175476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg_0.2_0.3,Avg_0.2_0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,267.130991721153,272.717834305763,,,,,,,,,,,,,,,,,,,,,,,,,,,
